lev0 , cycle ,0, countPeriod ,0, count ,0,21
lev0 , cycle ,0, countPeriod ,0, count ,1,2
lev0 , cycle ,0, countPeriod ,0, count ,2,2
lev0 , cycle ,0, countPeriod ,0, count ,3,3
lev0 , cycle ,0, countPeriod ,0, count ,4,2
lev0 , cycle ,0, countPeriod ,0, count ,5,1
lev0 , cycle ,0, countPeriod ,0, count ,6,2
lev0 , cycle ,0, countPeriod ,0, count ,7,2
lev0 , cycle ,0, countPeriod ,0, count ,8,2
lev0 , cycle ,0, countPeriod ,0, count ,9,2
lev0 , cycle ,0, countPeriod ,0, count ,10,2
lev0 , cycle ,0, countPeriod ,0, count ,11,2
lev0 , cycle ,0, countPeriod ,0, count ,12,2
lev0 , cycle ,0, countPeriod ,0, count ,13,2
lev0 , cycle ,0, countPeriod ,0, count ,14,2
lev0 , cycle ,0, countPeriod ,0, count ,15,1
lev0 , cycle ,0, countPeriod ,0, count ,16,2
lev0 , cycle ,0, countPeriod ,0, count ,17,2
lev0 , cycle ,0, countPeriod ,0, count ,18,2
lev0 , cycle ,0, countPeriod ,0, count ,19,2
lev0 , cycle ,0, countPeriod ,0, count ,20,2
lev0 , cycle ,0, countPeriod ,0, count ,21,2
lev0 , cycle ,0, countPeriod ,0, count ,22,2
lev0 , cycle ,0, countPeriod ,0, count ,23,2
lev0 , cycle ,0, countPeriod ,0, count ,24,2
lev0 , cycle ,0, countPeriod ,0, count ,25,2
lev0 , cycle ,0, countPeriod ,0, count ,26,2
lev0 , cycle ,0, countPeriod ,0, count ,27,3
lev0 , cycle ,0, countPeriod ,0, count ,28,2
lev0 , cycle ,0, countPeriod ,0, count ,29,2
lev0 , cycle ,0, countPeriod ,1, count ,0,2
lev0 , cycle ,0, countPeriod ,1, count ,1,2
lev0 , cycle ,0, countPeriod ,1, count ,2,2
lev0 , cycle ,0, countPeriod ,1, count ,3,2
lev0 , cycle ,0, countPeriod ,1, count ,4,2
lev0 , cycle ,0, countPeriod ,1, count ,5,2
lev0 , cycle ,0, countPeriod ,1, count ,6,2
lev0 , cycle ,0, countPeriod ,1, count ,7,3
lev0 , cycle ,0, countPeriod ,1, count ,8,2
lev0 , cycle ,0, countPeriod ,1, count ,9,2
lev0 , cycle ,0, countPeriod ,1, count ,10,2
lev0 , cycle ,0, countPeriod ,1, count ,11,2
lev0 , cycle ,0, countPeriod ,1, count ,12,2
lev0 , cycle ,0, countPeriod ,1, count ,13,2
lev0 , cycle ,0, countPeriod ,1, count ,14,2
lev0 , cycle ,0, countPeriod ,1, count ,15,2
lev0 , cycle ,0, countPeriod ,1, count ,16,2
lev0 , cycle ,0, countPeriod ,1, count ,17,2
lev0 , cycle ,0, countPeriod ,1, count ,18,2
lev0 , cycle ,0, countPeriod ,1, count ,19,3
lev0 , cycle ,0, countPeriod ,1, count ,20,3
lev0 , cycle ,0, countPeriod ,1, count ,21,2
lev0 , cycle ,0, countPeriod ,1, count ,22,3
lev0 , cycle ,0, countPeriod ,1, count ,23,3
lev0 , cycle ,0, countPeriod ,1, count ,24,2
lev0 , cycle ,0, countPeriod ,1, count ,25,2
lev0 , cycle ,0, countPeriod ,1, count ,26,3
lev0 , cycle ,0, countPeriod ,1, count ,27,2
lev0 , cycle ,0, countPeriod ,1, count ,28,3
