 lev1 , cycle ,0, period ,0, srt ,79,,30
 lev1 , cycle ,0, period ,1, srt ,95,,42
 lev1 , cycle ,0, period ,2, srt ,113,,49
 lev1 , cycle ,0, period ,3, srt ,119,,50
 lev1 , cycle ,0, period ,4, srt ,98,,42
 lev1 , cycle ,0, period ,5, srt ,75,,30
 lev1 , cycle ,0, period ,6, srt ,43,,18
 lev1 , cycle ,0, period ,7, srt ,25,,11
 lev1 , cycle ,0, period ,8, srt ,30,,10
 lev1 , cycle ,0, period ,9, srt ,41,,18
 lev1 , cycle ,1, period ,0, srt ,63,,30
 lev1 , cycle ,1, period ,1, srt ,94,,42
 lev1 , cycle ,1, period ,2, srt ,116,,49
 lev1 , cycle ,1, period ,3, srt ,118,,50
 lev1 , cycle ,1, period ,4, srt ,97,,42
 lev1 , cycle ,1, period ,5, srt ,72,,30
 lev1 , cycle ,1, period ,6, srt ,50,,18
 lev1 , cycle ,1, period ,7, srt ,27,,11
 lev1 , cycle ,1, period ,8, srt ,26,,10
 lev1 , cycle ,1, period ,9, srt ,45,,18
 lev1 , cycle ,2, period ,0, srt ,64,,30
 lev1 , cycle ,2, period ,1, srt ,104,,42
 lev1 , cycle ,2, period ,2, srt ,105,,49
 lev1 , cycle ,2, period ,3, srt ,124,,50
 lev1 , cycle ,2, period ,4, srt ,110,,42
 lev1 , cycle ,2, period ,5, srt ,72,,30
 lev1 , cycle ,2, period ,6, srt ,49,,18
 lev1 , cycle ,2, period ,7, srt ,47,,11
 lev1 , cycle ,2, period ,8, srt ,28,,10
 lev1 , cycle ,2, period ,9, srt ,65,,18
