 lev1 , cycle ,0, countPeriod ,0, amplitude ,90, srt ,285458602, mrt ,3171762.24444444
 lev1 , cycle ,0, countPeriod ,1, amplitude ,102, srt ,303608141, mrt ,2976550.40196078
 lev1 , cycle ,0, countPeriod ,2, amplitude ,109, srt ,466139680, mrt ,4276510.82568807
 lev1 , cycle ,0, countPeriod ,3, amplitude ,110, srt ,564534401, mrt ,5132130.91818182
 lev1 , cycle ,0, countPeriod ,4, amplitude ,102, srt ,525518715, mrt ,5152144.26470588
 lev1 , cycle ,0, countPeriod ,5, amplitude ,90, srt ,391469874, mrt ,4349665.26666667
 lev1 , cycle ,0, countPeriod ,6, amplitude ,78, srt ,365716370, mrt ,4688671.41025641
 lev1 , cycle ,0, countPeriod ,7, amplitude ,71, srt ,379450278, mrt ,5344370.11267606
 lev1 , cycle ,0, countPeriod ,8, amplitude ,70, srt ,327187289, mrt ,4674104.12857143
 lev1 , cycle ,0, countPeriod ,9, amplitude ,78, srt ,343551303, mrt ,4404503.88461538
 lev1 , cycle ,1, countPeriod ,0, amplitude ,90, srt ,230368360, mrt ,2559648.44444444
 lev1 , cycle ,1, countPeriod ,1, amplitude ,102, srt ,299749144, mrt ,2938717.09803922
 lev1 , cycle ,1, countPeriod ,2, amplitude ,109, srt ,444989754, mrt ,4082474.80733945
 lev1 , cycle ,1, countPeriod ,3, amplitude ,110, srt ,542735553, mrt ,4933959.57272727
 lev1 , cycle ,1, countPeriod ,4, amplitude ,102, srt ,495782787, mrt ,4860615.55882353
 lev1 , cycle ,1, countPeriod ,5, amplitude ,90, srt ,399322007, mrt ,4436911.18888889
 lev1 , cycle ,1, countPeriod ,6, amplitude ,78, srt ,362315640, mrt ,4645072.30769231
 lev1 , cycle ,1, countPeriod ,7, amplitude ,71, srt ,329264558, mrt ,4637528.98591549
 lev1 , cycle ,1, countPeriod ,8, amplitude ,70, srt ,352560404, mrt ,5036577.2
 lev1 , cycle ,1, countPeriod ,9, amplitude ,78, srt ,339359155, mrt ,4350758.3974359
 lev1 , cycle ,2, countPeriod ,0, amplitude ,90, srt ,234320865, mrt ,2603565.16666667
 lev1 , cycle ,2, countPeriod ,1, amplitude ,102, srt ,320098193, mrt ,3138217.57843137
 lev1 , cycle ,2, countPeriod ,2, amplitude ,109, srt ,505767210, mrt ,4640066.14678899
 lev1 , cycle ,2, countPeriod ,3, amplitude ,110, srt ,543884700, mrt ,4944406.36363636
 lev1 , cycle ,2, countPeriod ,4, amplitude ,102, srt ,478908941, mrt ,4695185.69607843
 lev1 , cycle ,2, countPeriod ,5, amplitude ,90, srt ,448995441, mrt ,4988838.23333333
 lev1 , cycle ,2, countPeriod ,6, amplitude ,78, srt ,366003769, mrt ,4692356.01282051
 lev1 , cycle ,2, countPeriod ,7, amplitude ,71, srt ,312739553, mrt ,4404782.43661972
 lev1 , cycle ,2, countPeriod ,8, amplitude ,70, srt ,332655300, mrt ,4752218.57142857
 lev1 , cycle ,2, countPeriod ,9, amplitude ,78, srt ,309468049, mrt ,3967539.08974359
 lev1 , cycle ,3, countPeriod ,0, amplitude ,90, srt ,256925959, mrt ,2854732.87777778
 lev1 , cycle ,3, countPeriod ,1, amplitude ,102, srt ,371474957, mrt ,3641911.34313725
 lev1 , cycle ,3, countPeriod ,2, amplitude ,109, srt ,510108266, mrt ,4679892.34862385
 lev1 , cycle ,3, countPeriod ,3, amplitude ,110, srt ,596701691, mrt ,5424560.82727273
