time, cycle ,period , amplitude , srt 
0.1,0,0,90,3.17176224444444
0.2,0,1,102,2.97655040196078
0.3,0,2,109,4.27651082568807
0.4,0,3,110,5.13213091818182
0.5,0,4,102,5.15214426470588
0.6,0,5,90,4.34966526666667
0.7,0,6,78,4.68867141025641
0.8,0,7,71,5.34437011267606
0.9,0,8,70,4.67410412857143
1,0,9,78,4.40450388461538
1.1,1,0,90,2.55964844444444
1.2,1,1,102,2.93871709803922
1.3,1,2,109,4.08247480733945
1.4,1,3,110,4.93395957272727
1.5,1,4,102,4.86061555882353
1.6,1,5,90,4.43691118888889
1.7,1,6,78,4.64507230769231
1.8,1,7,71,4.63752898591549
1.9,1,8,70,5.0365772
2,1,9,78,4.3507583974359
2.1,2,0,90,2.60356516666667
2.2,2,1,102,3.13821757843137
2.3,2,2,109,4.64006614678899
2.4,2,3,110,4.94440636363636
2.5,2,4,102,4.69518569607843
2.6,2,5,90,4.98883823333333
2.7,2,6,78,4.69235601282051
2.8,2,7,71,4.40478243661972
2.9,2,8,70,4.75221857142857
3,2,9,78,3.96753908974359
3.1,3,0,90,2.85473287777778
3.2,3,1,102,3.64191134313725
3.3,3,2,109,4.67989234862385
3.4,3,3,110,5.42456082727273
3.5,3,4,102,4.94892346078431
3.6,3,5,90,4.62295604444445
3.7,3,6,78,4.53731138461539
3.8,3,7,71,4.49833067605634
3.9,3,8,70,4.45473527142857
4,3,9,78,3.43240025641026
4.1,4,0,90,3.1049778
4.2,4,1,102,4.27671625490196
4.3,4,2,109,5.00910036697248
4.4,4,3,110,4.91532310909091
4.5,4,4,102,4.36469519607843
4.6,4,5,90,4.97883856666667
4.7,4,6,78,4.41783738461539
4.8,4,7,71,4.3950545915493
4.9,4,8,70,4.35372704285714
5,4,9,78,2.99874930769231
5.1,5,0,90,3.47601097777778
5.2,5,1,102,4.99644126470588
5.3,5,2,109,5.57867904587156
5.4,5,3,110,4.60847968181818
5.5,5,4,102,4.5225696372549
5.6,5,5,90,5.08236355555556
5.7,5,6,78,4.7930423974359
5.8,5,7,71,4.41474587323944
5.9,5,8,70,3.03749478571429
6,5,9,78,2.53972038461538
6.1,6,0,90,3.61604411111111
6.2,6,1,102,4.71449083333333
6.3,6,2,109,5.31276260550459
6.4,6,3,110,4.6115334
6.5,6,4,102,4.72447438235294
6.6,6,5,90,4.52598453333333
6.7,6,6,78,4.45552880769231
6.8,6,7,71,4.30015038028169
6.9,6,8,70,3.0669893
7,6,9,78,2.61691044871795
7.1,7,0,90,3.95913336666667
7.2,7,1,102,4.88450389215686
7.3,7,2,109,5.22155036697248
7.4,7,3,110,4.28363244545455
7.5,7,4,102,5.08977611764706
7.6,7,5,90,4.50062093333333
7.7,7,6,78,4.58670723076923
7.8,7,7,71,3.6503804084507
7.9,7,8,70,2.85870631428571
8,7,9,78,2.46413569230769
8.1,8,0,90,4.32391441111111
8.2,8,1,102,5.33855978431373
8.3,8,2,109,5.23176773394495
8.4,8,3,110,4.63390368181818
8.5,8,4,102,4.85318942156863
8.6,8,5,90,4.47643223333333
8.7,8,6,78,4.06298465384615
8.8,8,7,71,3.09061461971831
8.9,8,8,70,2.74117804285714
9,8,9,78,2.40784301282051
9.1,9,0,90,4.88301518888889
9.2,9,1,102,5.73797283333333
9.3,9,2,109,4.59201644036697
9.4,9,3,110,4.75073664545455
9.5,9,4,102,5.35046339215686
9.6,9,5,90,4.42133275555556
9.7,9,6,78,3.54887783333333
9.8,9,7,71,2.6905961971831
9.9,9,8,70,2.50619858571429
10,9,9,78,3.53574985897436
