 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Command Line curl 192.168.222.7:9000 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , lI , spb
0,0,0,3.0160488E7,2.0E7,0.6631192439591826,-0.1784083685228994
0,0,1,8482364.0,2.0E7,2.3578332644060076,0.37251309045004205
0,0,2,1.0529274E7,2.0E7,1.8994661930157768,0.2786315683211919
0,0,3,9906857.0,2.0E7,2.0188037437100386,0.3050941014267682
0,0,4,9541353.0,2.0E7,2.0961387761253567,0.3214200319902779
0,1,0,9404941.0,1.4285714E7,1.518958385810182,0.18154587586372728
0,1,1,8256347.0,1.4285714E7,1.730270542165924,0.23811401398639487
0,1,2,1.0093798E7,1.4285714E7,1.4152962046595345,0.15084734204178937
0,1,3,1.1016537E7,1.4285714E7,1.2967517832509436,0.11285685389370217
0,1,4,9457400.0,1.4285714E7,1.5105329160234313,0.17913019342365702
0,1,5,1.1002706E7,1.4285714E7,1.2983818707870591,0.11340244283780794
0,1,6,9164771.0,1.4285714E7,1.5587638796430374,0.19278033357596233
0,2,0,1.482165E7,1.1111111E7,0.749654120830002,-0.12513906735858757
0,2,1,1.0842171E7,1.1111111E7,1.0248049952357328,0.010641233635563675
0,2,2,1.0474598E7,1.1111111E7,1.0607672962723724,0.025620121856902777
0,2,3,9851143.0,1.1111111E7,1.1279006913207938,0.052270862847646864
0,2,4,1.1085547E7,1.1111111E7,1.0023060657268423,0.00100035861652388
0,2,5,9728635.0,1.1111111E7,1.1421037997622483,0.057705576427674564
0,2,6,8838537.0,1.1111111E7,1.2571210597409956,0.09937710190705638
0,2,7,9092880.0,1.1111111E7,1.2219572896596018,0.08705602653721052
0,2,8,9894696.0,1.1111111E7,1.1229360659488679,0.050355030530355394
0,3,0,9226437.0,1.1111111E7,1.204268885161195,0.08072346557977651
0,3,1,9421545.0,1.1111111E7,1.1793300355727219,0.07163535943806792
0,3,2,9779735.0,1.1111111E7,1.1361362040996,0.055430399282577945
0,3,3,8898496.0,1.1111111E7,1.2486504460978574,0.09644087666236224
0,3,4,9054248.0,1.1111111E7,1.2271710472255675,0.08890510037079485
0,3,5,1.0410508E7,1.1111111E7,1.067297676539896,0.028285563987319032
0,3,6,1.1675684E7,1.1111111E7,0.9516454025305926,-0.021524846165957068
0,3,7,9672604.0,1.1111111E7,1.148719724285208,0.06021407825781029
0,3,8,9130068.0,1.1111111E7,1.2169800925907672,0.08528347408159205
0,4,0,9402583.0,1.4285714E7,1.5193393134631197,0.18165477551406867
0,4,1,8877823.0,1.4285714E7,1.6091460710581862,0.20659546919234656
0,4,2,9071054.0,1.4285714E7,1.5748681465240975,0.1972441989928722
0,4,3,9864342.0,1.4285714E7,1.4482176307350252,0.16083383031781373
0,4,4,9303503.0,1.4285714E7,1.5355199004074056,0.18625544929170193
0,4,5,9547096.0,1.4285714E7,1.4963412958244056,0.1750306617023073
0,4,6,8990475.0,1.4285714E7,1.588983229473415,0.2011193135789406
0,5,0,1.0239261E7,2.0E7,1.9532659632369953,0.29076138230577164
0,5,1,1.0435039E7,2.0E7,1.9166195737265572,0.2825359191237309
0,5,2,1.0591289E7,2.0E7,1.8883442799077619,0.27608117705597107
0,5,3,9968581.0,2.0E7,2.006303605297484,0.30239665357393736
