 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Command Line curl 192.168.1.108:9000 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , lI , spb
0,0,0,1.941111E7,5000000.0,3.882222,0.5890803663481429
0,0,1,6996575.0,5000000.0,1.399315,0.1459154895903261
0,0,2,6592181.0,5000000.0,1.3184362,0.12005911884061088
0,0,3,8496582.0,5000000.0,1.6993164,0.23027424878125935
0,0,4,1.0237743E7,5000000.0,2.0475486,0.3112342188384767
0,0,5,8194040.0,5000000.0,1.638808,0.214528075336862
0,0,6,1.0784553E7,5000000.0,2.1569106,0.333832144763508
0,0,7,6251959.0,5000000.0,1.2503918,0.09704611694136987
0,0,8,7034330.0,5000000.0,1.406866,0.14825273408580225
0,0,9,7212562.0,5000000.0,1.4425124,0.1591195550883787
0,0,10,9523449.0,5000000.0,1.9046898,0.27982425606525063
0,0,11,1.1581099E7,5000000.0,2.3162198,0.36477976982124105
0,0,12,8911437.0,5000000.0,1.7822874,0.25097773683331026
0,0,13,7864747.0,5000000.0,1.5729494,0.1967147520865794
0,0,14,7376778.0,5000000.0,1.4753556,0.16889670946996538
0,0,15,1.137741E7,5000000.0,2.275482,0.357073404407741
0,0,16,8220950.0,5000000.0,1.64419,0.21595200248850327
0,0,17,8423095.0,5000000.0,1.684619,0.22650169457979968
0,0,18,7888208.0,5000000.0,1.5776416,0.1980083494304588
0,0,19,1.3415028E7,5000000.0,2.6830056,0.42862157913729887
0,1,0,7619319.0,3225806.0,2.361989220678491,0.37327791130860005
0,1,1,9383090.0,3225806.0,2.908758307226163,0.46370763661359365
0,1,2,8022520.0,3225806.0,2.486981548177417,0.3956725630928325
0,1,3,8166636.0,3225806.0,2.531657514432052,0.40340495345721716
0,1,4,7487309.0,3225806.0,2.321066114949256,0.36568751139460065
0,1,5,8615479.0,3225806.0,2.6707988639118407,0.42664118282394187
0,1,6,8473975.0,3225806.0,2.6269326177705663,0.4194489330427382
0,1,7,1.2074369E7,3225806.0,3.743054914027688,0.5732261986571044
0,1,8,1.5790201E7,3225806.0,4.8949629952948195,0.6897494129930871
0,1,9,6902401.0,3225806.0,2.139744609564245,0.3303619409772951
0,1,10,1.0411098E7,3225806.0,3.2274408318417165,0.5088582891599329
0,1,11,8087425.0,3225806.0,2.507102100994294,0.3991720208331671
0,1,12,8116173.0,3225806.0,2.5160139822419576,0.40071305028422244
0,1,13,7897448.0,3225806.0,2.4482092227492913,0.3888485296511326
0,1,14,1.4959101E7,3225806.0,4.6373219592250745,0.6662672490682991
0,1,15,1.0185944E7,3225806.0,3.1576430820700314,0.4993630388300874
0,1,16,1.2164836E7,3225806.0,3.7710996879539564,0.5764680130091946
0,1,17,7521019.0,3225806.0,2.3315162164122705,0.3676384404526911
0,1,18,1.0753719E7,3225806.0,3.33365335671147,0.5229204385951057
0,1,19,9336363.0,3225806.0,2.894272935198211,0.46153948347317997
0,1,20,1.255616E7,3225806.0,3.89241014493742,0.5902185958045075
0,1,21,1.4210984E7,3225806.0,4.405405656756792,0.6439859051157305
0,1,22,8429846.0,3225806.0,2.6132526258553677,0.4171813954570299
0,1,23,8210296.0,3225806.0,2.5451921163268962,0.40572056934926104
0,1,24,7461100.0,3225806.0,2.3129413238117853,0.3641646154476668
0,1,25,7807225.0,3225806.0,2.4202400888336126,0.38385845031252075
0,1,26,9559425.0,3225806.0,2.9634221648791033,0.47179352485749776
0,1,27,7912967.0,3225806.0,2.453020113422816,0.3897011091981221
0,1,28,9897185.0,3225806.0,3.068127779537889,0.4868734428886122
0,1,29,7374576.0,3225806.0,2.286118880056643,0.3590988103156983
0,1,30,9387132.0,3225806.0,2.9100113274015857,0.46389467950770397
0,2,0,8152743.0,2702702.0,3.0165156942940805,0.47950558920076913
0,2,1,1.0337394E7,2702702.0,3.8248367744575615,0.5826129062961873
0,2,2,9923060.0,2702702.0,3.6715331545986203,0.5648474543180997
0,2,3,1.0897092E7,2702702.0,4.031925088300523,0.6055124544791495
0,2,4,9496037.0,2702702.0,3.513534603518997,0.545744235102027
0,2,5,8174332.0,2702702.0,3.024503626370943,0.4806541095614868
0,2,6,1.009041E7,2702702.0,3.7334526706976945,0.5721106501104748
0,2,7,1.2844169E7,2702702.0,4.752343765609379,0.6769078482415232
0,2,8,8360707.0,2702702.0,3.0934623943002224,0.4904448408838455
0,2,9,7943544.0,2702702.0,2.9391120441691316,0.46821614246487714
0,2,10,1.163259E7,2702702.0,4.304059419055449,0.6338782582879272
0,2,11,9427809.0,2702702.0,3.4882902369554616,0.5426126124601408
0,2,12,9900320.0,2702702.0,3.6631193524110315,0.5638510691556915
0,2,13,7995270.0,2702702.0,2.958250669145174,0.4710349714235729
0,2,14,1.1445913E7,2702702.0,4.234988911097117,0.6268522775107311
0,2,15,7556725.0,2702702.0,2.795988976957134,0.44653545489334084
0,2,16,7847546.0,2702702.0,2.9035927749341215,0.4629357070692729
0,2,17,8672447.0,2702702.0,3.2088062242896185,0.5063434913981769
0,2,18,8645806.0,2702702.0,3.1989490517267534,0.5050073233194516
0,2,19,1.0540838E7,2702702.0,3.9001110740288794,0.5910769757831413
0,2,20,1.0487192E7,2702702.0,3.8802620488681328,0.5888610561443216
0,2,21,1.0317319E7,2702702.0,3.8174090225263457,0.581768695633999
0,2,22,8935498.0,2702702.0,3.306135119595131,0.5193205989315584
0,2,23,1.056187E7,2702702.0,3.907892916052158,0.5919426546872626
0,2,24,1.1401291E7,2702702.0,4.21847876680448,0.6251558674807132
0,2,25,8615351.0,2702702.0,3.187680698796982,0.5034748128196087
0,2,26,1.1302578E7,2702702.0,4.181954947308286,0.6213793498014044
0,2,27,1.073118E7,2702702.0,3.9705376323397843,0.5988493165741452
0,2,28,1.1434048E7,2702702.0,4.230598859955704,0.6264018480288197
0,2,29,8894787.0,2702702.0,3.2910720456787317,0.5173373896472261
