 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Trajectory File: sinus.txt
 Coef Load Impact: 10
 Command Line: curl 192.168.222.3:9000 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , spb
0,0,0,2.0278394E7,5000000.0,-6.080635526094781
0,0,1,1.3179982E7,5000000.0,-4.209448128031549
0,0,2,1.1115811E7,5000000.0,-3.4697114960640754
0,0,3,1.1482052E7,5000000.0,-3.6104950503602073
0,0,4,1.030858E7,5000000.0,-3.1422884129306206
0,0,5,1.2651731E7,5000000.0,-4.031799450744711
0,0,6,1.0189072E7,5000000.0,-3.0916462681152526
0,0,7,8836401.0,5000000.0,-2.4730541179679086
0,0,8,1.2011162E7,5000000.0,-3.806150202006433
0,0,9,1.0851453E7,5000000.0,-3.3651788939075504
0,0,10,1.0308204E7,5000000.0,-3.1421300034277477
0,0,11,1.1612717E7,5000000.0,-3.6596383814658755
0,0,12,9187780.0,5000000.0,-2.6424058319590387
0,0,13,8767968.0,5000000.0,-2.4392895178502547
0,0,14,1.2156267E7,5000000.0,-3.8583022601177
0,0,15,1.1218464E7,5000000.0,-3.509633942963154
0,0,16,1.0411713E7,5000000.0,-3.1855218389159585
0,0,17,1.0059294E7,5000000.0,-3.0359749699387244
0,0,18,9494539.0,5000000.0,-2.785038784161546
0,0,19,9115572.0,5000000.0,-2.608139213866767
0,1,0,9394079.0,4347826.0,-3.345820527882906
0,1,1,1.1530185E7,4347826.0,-4.2356412024055725
0,1,2,1.0798358E7,4347826.0,-3.950855663242783
0,1,3,1.035937E7,4347826.0,-3.7706118951008842
0,1,4,9887494.0,4347826.0,-3.5681407766760427
0,1,5,9020092.0,4347826.0,-3.1693881183395805
0,1,6,1.0544921E7,4347826.0,-3.8477117516186228
0,1,7,1.0593295E7,4347826.0,-3.8675891130213547
0,1,8,1.0774293E7,4347826.0,-3.9411662643439183
0,1,9,9695732.0,4347826.0,-3.4830844734564845
0,1,10,1.0283556E7,4347826.0,-3.7387116209937146
0,1,11,9002947.0,4347826.0,-3.161125381807431
0,1,12,9827881.0,4347826.0,-3.5418773392827063
0,1,13,1.2662278E7,4347826.0,-4.64239688918204
0,1,14,1.0012887E7,4347826.0,-3.6228715968505987
0,1,15,1.3395922E7,4347826.0,-4.887004548262977
0,1,16,1.0645062E7,4347826.0,-3.888760399451292
0,1,17,1.0748493E7,4347826.0,-3.9307542266086277
0,1,18,1.0310435E7,4347826.0,-3.7500483337345107
0,1,19,9812908.0,4347826.0,-3.5352557187996894
0,1,20,1.102528E7,4347826.0,-4.041174724044291
0,1,21,1.0648503E7,4347826.0,-3.8901640228701395
0,1,22,1.0467834E7,4347826.0,-3.8158467163888226
0,2,0,9008576.0,4000000.0,-3.525961554537436
0,2,1,9418775.0,4000000.0,-3.7193443106838373
0,2,2,1.0053899E7,4000000.0,-4.002745267271141
0,2,3,1.0029623E7,4000000.0,-3.9922461745548503
0,2,4,1.1608284E7,4000000.0,-4.627080333708486
0,2,5,1.0143862E7,4000000.0,-4.041433409835347
0,2,6,9010693.0,4000000.0,-3.526982019265966
0,2,7,9725775.0,4000000.0,-3.8586422687677246
0,2,8,1.1770214E7,4000000.0,-4.687243677069962
0,2,9,1.0202694E7,4000000.0,-4.06654870125527
0,2,10,1.1469493E7,4000000.0,-4.574842293484703
0,2,11,9849174.0,4000000.0,-3.913398186332084
0,2,12,8950554.0,4000000.0,-3.497899257417826
0,2,13,1.0688615E7,4000000.0,-4.268614428961632
0,2,14,1.2393572E7,4000000.0,-4.911365028055478
0,2,15,1.0716939E7,4000000.0,-4.2801076742049915
0,2,16,9895169.0,4000000.0,-3.9336322461118574
0,2,17,9932399.0,4000000.0,-3.949941661934787
0,2,18,9297553.0,4000000.0,-3.663086713730597
0,2,19,9641852.0,4000000.0,-3.821004695592637
0,2,20,1.1707297E7,4000000.0,-4.663966446931705
0,2,21,1.0151569E7,4000000.0,-4.044731795302416
0,2,22,1.1573519E7,4000000.0,-4.614054376252071
0,2,23,9525614.0,4000000.0,-3.768329875832273
0,2,24,9581291.0,4000000.0,-3.7936403929560587
0,3,0,1.1730698E7,4000000.0,-4.672638629469484
0,3,1,1.011801E7,4000000.0,-4.03035112973947
0,3,2,1.0612975E7,4000000.0,-4.237771498757475
0,3,3,9293897.0,4000000.0,-3.661378637549013
0,3,4,9768809.0,4000000.0,-3.877816270215625
0,3,5,8482378.0,4000000.0,-3.264576306811684
0,3,6,1.0163674E7,4000000.0,-4.049907352715749
0,3,7,1.1355784E7,4000000.0,-4.531571318266454
0,3,8,9911107.0,4000000.0,-3.9406217346422636
0,3,9,1.0302469E7,4000000.0,-4.108813250839807
0,3,10,1.3351838E7,4000000.0,-5.234810630103276
0,3,11,9666111.0,4000000.0,-3.8319178668891762
0,3,12,9802696.0,4000000.0,-3.8928554323188354
0,3,13,1.0325943E7,4000000.0,-4.118697320508967
0,3,14,9020353.0,4000000.0,-3.531635421067018
0,3,15,9257258.0,4000000.0,-3.6442237636750185
0,3,16,1.404283E7,4000000.0,-5.453946470592825
0,3,17,1.0518136E7,4000000.0,-4.198787906341393
0,3,18,1.1763337E7,4000000.0,-4.684705476832301
0,3,19,9140261.0,4000000.0,-3.588986058545994
0,3,20,8561116.0,4000000.0,-3.3047039029431176
0,3,21,9442843.0,4000000.0,-3.730427776867507
0,3,22,9832256.0,4000000.0,-3.9059318631487585
0,3,23,8714663.0,4000000.0,-3.3819060607671676
0,3,24,1.1480799E7,4000000.0,-4.579121222754624
0,4,0,1.0261479E7,4347826.0,-3.7293780540590795
0,4,1,8646913.0,4347826.0,-2.9858893409312124
0,4,2,1.0432804E7,4347826.0,-3.8012889311708227
0,4,3,9867669.0,4347826.0,-3.5594241783933316
0,4,4,8691285.0,4347826.0,-3.00811836014314
0,4,5,8706867.0,4347826.0,-3.0158975523543403
0,4,6,1.1510897E7,4347826.0,-4.22837012553199
0,4,7,9024117.0,4347826.0,-3.171325621190111
0,4,8,8702996.0,4347826.0,-3.0139662861896936
0,4,9,9350842.0,4347826.0,-3.325785635427978
0,4,10,9516210.0,4347826.0,-3.401918620152107
0,4,11,9115489.0,4347826.0,-3.215078160274738
0,4,12,9634479.0,4347826.0,-3.4555607915495963
0,4,13,1.042249E7,4347826.0,-3.7969933181226114
0,4,14,8917887.0,4347826.0,-3.119898097357553
0,4,15,1.0249986E7,4347826.0,-3.724511169121436
0,4,16,1.0701197E7,4347826.0,-3.9116020382975654
0,4,17,9433470.0,4347826.0,-3.363993173613879
0,4,18,9297163.0,4347826.0,-3.3007828987991688
0,4,19,1.1540838E7,4347826.0,-4.2396518953380244
