 Number of tacts (im units) = 10
 Signal_Sampling_Rate (im Hz) = 10
 Period Time (im ms) = 100
 Command Line ping 192.168.1.1 > /dev/null 2>&1
 lev1 ; cycle ; 0 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 250 ; mrt ; 3.979400086720376
 lev1 ; cycle ; 1 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 213 ; mrt ; 3.2837960343873767
 lev1 ; cycle ; 2 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 214 ; mrt ; 3.304137733491909
 lev1 ; cycle ; 3 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 232 ; mrt ; 3.654879848908996
 lev1 ; cycle ; 0 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 274 ; mrt ; 4.37750562820388
 lev1 ; cycle ; 1 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 276 ; mrt ; 4.409090820652176
 lev1 ; cycle ; 4 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 257 ; mrt ; 4.099331233312945
 lev1 ; cycle ; 2 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 301 ; mrt ; 4.785664955938433
 lev1 ; cycle ; 5 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 300 ; mrt ; 4.771212547196624
 lev1 ; cycle ; 3 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 358 ; mrt ; 5.538830266438744
 lev1 ; cycle ; 6 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 319 ; mrt ; 5.037906830571811
 lev1 ; cycle ; 0 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 383 ; mrt ; 5.831987739686228
 lev1 ; cycle ; 1 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 415 ; mrt ; 6.180480967120927
 lev1 ; cycle ; 4 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 391 ; mrt ; 5.921767573958668
 lev1 ; cycle ; 7 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 361 ; mrt ; 5.575072019056579
 lev1 ; cycle ; 8 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 382 ; mrt ; 5.820633629117086
 lev1 ; cycle ; 2 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 470 ; mrt ; 6.720978579357175
 lev1 ; cycle ; 5 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 433 ; mrt ; 6.364878963533655
 lev1 ; cycle ; 9 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 398 ; mrt ; 5.998830720736878
 lev1 ; cycle ; 6 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 474 ; mrt ; 6.7577834167408515
 lev1 ; cycle ; 3 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 544 ; mrt ; 7.355988996981799
 lev1 ; cycle ; 0 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 522 ; mrt ; 7.176705030022621
 lev1 ; cycle ; 7 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 461 ; mrt ; 6.6370092538964816
 lev1 ; cycle ; 1 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 530 ; mrt ; 7.242758696007891
 lev1 ; cycle ; 4 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 508 ; mrt ; 7.058637122839193
 lev1 ; cycle ; 8 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 496 ; mrt ; 6.954816764901974
 lev1 ; cycle ; 2 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 537 ; mrt ; 7.299742856995556
 lev1 ; cycle ; 5 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 491 ; mrt ; 6.910814921229685
 lev1 ; cycle ; 9 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 479 ; mrt ; 6.803355134145632
 lev1 ; cycle ; 6 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 492 ; mrt ; 6.919651027673604
 lev1 ; cycle ; 0 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 498 ; mrt ; 6.972293427597176
 lev1 ; cycle ; 3 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 550 ; mrt ; 7.403626894942439
 lev1 ; cycle ; 1 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 508 ; mrt ; 7.058637122839193
 lev1 ; cycle ; 7 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 527 ; mrt ; 7.218106152125465
 lev1 ; cycle ; 4 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 542 ; mrt ; 7.339992865383868
 lev1 ; cycle ; 8 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 525 ; mrt ; 7.201593034059569
 lev1 ; cycle ; 2 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 489 ; mrt ; 6.893088591236202
 lev1 ; cycle ; 5 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 532 ; mrt ; 7.259116322950482
 lev1 ; cycle ; 9 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 499 ; mrt ; 6.9810054562339
 lev1 ; cycle ; 6 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 501 ; mrt ; 6.998377258672457
 lev1 ; cycle ; 0 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 435 ; mrt ; 6.384892569546373
 lev1 ; cycle ; 3 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 460 ; mrt ; 6.627578316815741
 lev1 ; cycle ; 1 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 425 ; mrt ; 6.283889300503115
 lev1 ; cycle ; 4 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 449 ; mrt ; 6.522463410033232
 lev1 ; cycle ; 7 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 496 ; mrt ; 6.954816764901974
 lev1 ; cycle ; 2 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 390 ; mrt ; 5.910646070264992
 lev1 ; cycle ; 8 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 476 ; mrt ; 6.776069527204931
 lev1 ; cycle ; 5 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 469 ; mrt ; 6.711728427150833
 lev1 ; cycle ; 0 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 357 ; mrt ; 5.526682161121932
 lev1 ; cycle ; 9 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 504 ; mrt ; 7.0243053644552536
 lev1 ; cycle ; 6 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 437 ; mrt ; 6.404814369704218
 lev1 ; cycle ; 3 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 390 ; mrt ; 5.910646070264992
 lev1 ; cycle ; 1 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 374 ; mrt ; 5.728716022004802
