 


 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Trajectory File: sinus.txt
 Coef Load Impact: 10
 Command Line: ping 192.168.1.1 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , spb
0,0,0,1.8928296E7,5000000.0,5.781415144821506
0,0,1,2472532.0,5000000.0,-3.058280833050267
0,0,2,2126022.0,5000000.0,-3.7140225006164447
0,0,3,2166872.0,5000000.0,-3.631367466089695
0,0,4,1911100.0,5000000.0,-4.176865918430528
0,0,5,1908902.0,5000000.0,-4.181863713596968
0,0,6,1838264.0,5000000.0,-4.345621221445222
0,0,7,2065833.0,5000000.0,-3.838747936915813
0,0,8,1887743.0,5000000.0,-4.23027135814184
0,0,9,1908879.0,5000000.0,-4.1819160412348495
0,0,10,1841590.0,5000000.0,-4.33777056302154
0,0,11,1920934.0,5000000.0,-4.1545756083206244
0,0,12,1877646.0,5000000.0,-4.253562879385733
0,0,13,1978539.0,5000000.0,-4.026253890476638
0,0,14,1834842.0,5000000.0,-4.353713316511584
0,0,15,1859892.0,5000000.0,-4.294822779491894
0,0,16,1905334.0,5000000.0,-4.189988869792939
0,0,17,1743660.0,5000000.0,-4.575081994958887
0,0,18,1869028.0,5000000.0,-4.273541967215494
0,0,19,1890686.0,5000000.0,-4.223505959513404
0,1,0,2132859.0,4347826.0,-3.0931000943264717
0,1,1,5345506.0,4347826.0,0.8971666605496229
0,1,2,3242249.0,4347826.0,-1.274257903196732
0,1,3,2586341.0,4347826.0,-2.255863707710769
0,1,4,4255354.0,4347826.0,-0.09336460711012173
0,1,5,4612852.0,4347826.0,0.2569736551282704
0,1,6,4273833.0,4347826.0,-0.07454607191316318
0,1,7,5837873.0,4347826.0,1.2798248759954522
0,1,8,3514299.0,4347826.0,-0.9243344636550603
0,1,9,5982166.0,4347826.0,1.3858630486714183
0,1,10,3327889.0,4347826.0,-1.1610332310194067
0,1,11,3158174.0,4347826.0,-1.3883610145510974
0,1,12,5924990.0,4347826.0,1.344154663985382
0,1,13,2787659.0,4347826.0,-1.9303250763373578
0,1,14,5274694.0,4347826.0,0.8392511474597677
0,1,15,3463554.0,4347826.0,-0.9875019221951563
0,1,16,4422600.0,4347826.0,0.07405506286869556
0,1,17,4650216.0,4347826.0,0.29200970804060444
0,1,18,2892115.0,4347826.0,-1.7705659735437016
0,1,19,3901016.0,4347826.0,-0.4709442372416195
0,1,20,4536928.0,4347826.0,0.18489731871017157
0,1,21,3004603.0,4347826.0,-1.6048505875791106
0,1,22,5619167.0,4347826.0,1.1139978409518323
0,2,0,5732694.0,4000000.0,1.5629876927486344
0,2,1,2463406.0,4000000.0,-2.1052399644838222
0,2,2,6082035.0,4000000.0,1.8198892370131678
0,2,3,6151846.0,4000000.0,1.8694546384848585
0,2,4,2223502.0,4000000.0,-2.550224669027692
0,2,5,2461861.0,4000000.0,-2.1079646289397758
0,2,6,2587454.0,4000000.0,-1.8918735372240767
0,2,7,6054693.0,4000000.0,1.8003213603780392
0,2,8,4480985.0,4000000.0,0.4931349879616504
0,2,9,4677072.0,4000000.0,0.6791406426837855
0,2,10,6073690.0,4000000.0,1.8139263051093377
0,2,11,2123518.0,4000000.0,-2.750040446885529
0,2,12,4010374.0,4000000.0,0.011248846743189055
0,2,13,6054948.0,4000000.0,1.8005042643846927
0,2,14,4568422.0,4000000.0,0.5770622295675888
0,2,15,4853092.0,4000000.0,0.8395853298003255
0,2,16,2821021.0,4000000.0,-1.5165367222322566
0,2,17,5949314.0,4000000.0,1.7240689991479485
0,2,18,5893416.0,4000000.0,1.6830710650025085
0,2,19,2359848.0,4000000.0,-2.2917596076767586
0,2,20,5785772.0,4000000.0,1.6030132407234032
0,2,21,6056199.0,4000000.0,1.8014014583478957
0,2,22,2371599.0,4000000.0,-2.270187327780644
0,2,23,2327648.0,4000000.0,-2.351426868346916
0,2,24,5844940.0,4000000.0,1.6472006603428346
0,3,0,2331564.0,4000000.0,-2.344126502570043
0,3,1,2409590.0,4000000.0,-2.2011683916203326
0,3,2,4884285.0,4000000.0,0.8674100594245475
0,3,3,3638891.0,4000000.0,-0.4109094448245446
0,3,4,5865193.0,4000000.0,1.662223162499149
0,3,5,4503677.0,4000000.0,0.5150724439014664
0,3,6,3468544.0,4000000.0,-0.6191278324172654
0,3,7,2659350.0,4000000.0,-1.772844922568011
0,3,8,3542194.0,4000000.0,-0.5278764824515263
0,3,9,2738178.0,4000000.0,-1.645983145478617
0,3,10,2793821.0,4000000.0,-1.558614138885844
0,3,11,3269808.0,4000000.0,-0.8753773927581328
0,3,12,5886217.0,4000000.0,1.6777627733698908
0,3,13,5043183.0,4000000.0,1.0064473619032543
0,3,14,4379004.0,4000000.0,0.39315350570519436
0,3,15,5926940.0,4000000.0,1.7077053945402723
0,3,16,4898485.0,4000000.0,0.8800179117489777
0,3,17,4460483.0,4000000.0,0.47321897177289163
0,3,18,2729474.0,4000000.0,-1.659810296012816
0,3,19,2331238.0,4000000.0,-2.3447337769142305
0,3,20,3402348.0,4000000.0,-0.7028125913834715
0,3,21,3695033.0,4000000.0,-0.3444166993570919
0,3,22,5838900.0,4000000.0,1.642710460366858
0,3,23,3045364.0,4000000.0,-1.184207817996215
0,3,24,3197789.0,4000000.0,-0.9721018706434834
0,4,0,3187117.0,4347826.0,-1.3487414845231058
0,4,1,5880032.0,4347826.0,1.311075342805743
0,4,2,3057348.0,4347826.0,-1.5292728056192348
0,4,3,3256373.0,4347826.0,-1.2553801013471346
0,4,4,3185483.0,4347826.0,-1.3509686357611617
0,4,5,5813038.0,4347826.0,1.2613100666492345
0,4,6,3401940.0,4347826.0,-1.0654550560218419
0,4,7,3040587.0,4347826.0,-1.5531472094714633
0,4,8,3257814.0,4347826.0,-1.2534587000774735
0,4,9,2679724.0,4347826.0,-2.10182089420563
0,4,10,3062031.0,4347826.0,-1.522625721149452
0,4,11,2658559.0,4347826.0,-2.1362585247061676
0,4,12,5147321.0,4347826.0,0.733090975041992
0,4,13,2727907.0,4347826.0,-2.0244259505814948
0,4,14,6334404.0,4347826.0,1.6343360335658854
0,4,15,3211882.0,4347826.0,-1.3151257376154888
0,4,16,2453305.0,4347826.0,-2.485206113368505
0,4,17,5683585.0,4347826.0,1.163502041084813
0,4,18,3898470.0,4347826.0,-0.4737795876485561
0,4,19,4044410.0,4347826.0,-0.31416979764332587
0,4,20,3123453.0,4347826.0,-1.436371799894158
0,4,21,3457597.0,4347826.0,-0.9949778257480008
0,4,22,5522715.0,4347826.0,1.0388047671568637
0,5,0,2835717.0,5000000.0,-2.4630711755385177
0,5,1,3633712.0,5000000.0,-1.3861950122292275
0,5,2,2903426.0,5000000.0,-2.3605924274615138
0,5,3,5505811.0,5000000.0,0.41851294790692023
0,5,4,4242425.0,5000000.0,-0.7135583098308911
0,5,5,2411554.0,5000000.0,-3.1667301316024425
0,5,6,4674095.0,5000000.0,-0.29272469245900146
0,5,7,6050566.0,5000000.0,0.8282599827995802
0,5,8,2368818.0,5000000.0,-3.244383098572695
0,5,9,3935166.0,5000000.0,-1.040069470911512
0,5,10,4730618.0,5000000.0,-0.24052124389373764
0,5,11,4445631.0,5000000.0,-0.5103659215263191
0,5,12,3806419.0,5000000.0,-1.1845341182689624
0,5,13,4713880.0,5000000.0,-0.2559148172708722
0,5,14,2915917.0,5000000.0,-2.3419484647163675
0,5,15,3495740.0,5000000.0,-1.5543088036345476
0,5,16,5419673.0,5000000.0,0.3500307951237457
0,5,17,2583954.0,5000000.0,-2.866852263303053
0,5,18,3226495.0,5000000.0,-1.9023900790514592
0,5,19,4291364.0,5000000.0,-0.6637465072462516
0,6,0,3322082.0,5882352.0,-2.4814066105896297
0,6,1,6127622.0,5882352.0,0.17740957611109523
0,6,2,5024020.0,5882352.0,-0.6849964952959797
0,6,3,6096358.0,5882352.0,0.15519453274915712
0,6,4,5406043.0,5882352.0,-0.36671513353019264
0,6,5,6081284.0,5882352.0,0.14444276592291477
0,6,6,6045280.0,5882352.0,0.11865411800607668
0,6,7,5947015.0,5882352.0,0.047480247756397746
0,6,8,2654502.0,5882352.0,-3.4556795224377663
0,6,9,2630033.0,5882352.0,-3.495898113566365
0,6,10,2608318.0,5882352.0,-3.5319047068432767
0,6,11,2598017.0,5882352.0,-3.549090206031228
0,6,12,4008578.0,5882352.0,-1.6656067049893566
0,6,13,5905358.0,5882352.0,0.01695221809287357
0,6,14,2374311.0,5882352.0,-3.940134045675567
0,6,15,3405045.0,5882352.0,-2.3742815334907514
0,6,16,2392001.0,5882352.0,-3.907896522570298
0,7,0,2865323.0,6666666.0,-3.6673511162652757
0,7,1,3551664.0,6666666.0,-2.7347682426194115
0,7,2,5816986.0,6666666.0,-0.5921067895116847
0,7,3,3029022.0,6666666.0,-3.426062698591654
0,7,4,4130381.0,6666666.0,-2.0791858325173713
0,7,5,3034910.0,6666666.0,-3.4176288087885363
0,7,6,3647702.0,6666666.0,-2.6188934621428865
0,7,7,2674655.0,6666666.0,-3.966409265815931
0,7,8,4467031.0,6666666.0,-1.7388973114506168
0,7,9,3015463.0,6666666.0,-3.4455469350723797
0,7,10,5172372.0,6666666.0,-1.102189454717339
0,7,11,3199620.0,6666666.0,-3.1881029472704627
0,7,12,3314801.0,6666666.0,-3.0345123632642763
0,7,13,2595090.0,6666666.0,-4.09756273355214
0,7,14,5893466.0,6666666.0,-0.5353791512883994
0,8,0,3328007.0,6666666.0,-3.017244664171628
0,8,1,2330690.0,6666666.0,-4.564241847160851
0,8,2,5759155.0,6666666.0,-0.635499303690858
0,8,3,3675155.0,6666666.0,-2.5863303729869456
0,8,4,5325269.0,6666666.0,-0.9756714695058416
0,8,5,5899732.0,6666666.0,-0.5307641359555217
0,8,6,2339041.0,6666666.0,-4.548708630859207
0,8,7,5397251.0,6666666.0,-0.9173608204735638
0,8,8,5936422.0,6666666.0,-0.5038393163252503
0,8,9,2629016.0,6666666.0,-4.041154683158599
0,8,10,4846630.0,6666666.0,-1.3846883130805359
0,8,11,4040094.0,6666666.0,-2.175172276502096
0,8,12,6046961.0,6666666.0,-0.42371529891134985
0,8,13,3223797.0,6666666.0,-3.1554101070796534
0,8,14,5930564.0,6666666.0,-0.5081270053503102
0,9,0,3076680.0,5882352.0,-2.8146868073283544
0,9,1,6014518.0,5882352.0,0.09649819826739209
0,9,2,5969972.0,5882352.0,0.064212850979466
0,9,3,2429050.0,5882352.0,-3.8411455464211026
0,9,4,3634463.0,5882352.0,-2.091107571761452
0,9,5,5810249.0,5882352.0,-0.05356264522450169
0,9,6,2439649.0,5882352.0,-3.822236616190069
0,9,7,3317525.0,5882352.0,-2.4873680485626486
0,9,8,3333284.0,5882352.0,-2.466786914601624
0,9,9,3222361.0,5882352.0,-2.613768164636894
0,9,10,2451735.0,5882352.0,-3.800774822185786
0,9,11,2479194.0,5882352.0,-3.7524049695615376
0,9,12,2738924.0,5882352.0,-3.319710275701466
0,9,13,2236434.0,5882352.0,-4.199949230170515
0,9,14,2084511.0,5882352.0,-4.505468178868729
0,9,15,3559108.0,5882352.0,-2.1820984240291317
0,9,16,3619719.0,5882352.0,-2.10876151719164
0,10,0,2979017.0,5000000.0,-2.248970227775289
0,10,1,5103150.0,5000000.0,0.08868329666380151
0,10,2,3187132.0,5000000.0,-1.955699535122848
0,10,3,3843964.0,5000000.0,-1.1419069263258073
0,10,4,3278042.0,5000000.0,-1.8335549065633205
0,10,5,4547192.0,5000000.0,-0.4122671215420244
