 Number of tacts (im units) = 10
 Signal_Sampling_Rate (im Hz) = 10
 Period Time (im ms) = 100
 Command Line ping -c1 192.168.1.1 > /dev/null 2>&1
 lev1 ; cycle ; 1 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 230368360 ; mrt ; 63.62422830562806
 lev1 ; cycle ; 0 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 285458602 ; mrt ; 64.55543134555333
 lev1 ; cycle ; 2 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 234320865 ; mrt ; 63.69810961882972
 lev1 ; cycle ; 3 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 256925959 ; mrt ; 64.0980798624727
 lev1 ; cycle ; 1 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 299749144 ; mrt ; 64.76757951548676
 lev1 ; cycle ; 0 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 303608141 ; mrt ; 64.82313412625204
 lev1 ; cycle ; 4 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 279448002 ; mrt ; 64.4630100884018
 lev1 ; cycle ; 2 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 320098193 ; mrt ; 65.05283222496698
 lev1 ; cycle ; 5 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 312840988 ; mrt ; 64.9532364878695
 lev1 ; cycle ; 6 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 325443970 ; mrt ; 65.12476229111925
 lev1 ; cycle ; 3 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 371474957 ; mrt ; 65.69929541102499
 lev1 ; cycle ; 7 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 356322003 ; mrt ; 65.5184264100508
 lev1 ; cycle ; 1 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 444989754 ; mrt ; 66.4835001135736
 lev1 ; cycle ; 4 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 436225058 ; mrt ; 66.39710609061478
 lev1 ; cycle ; 0 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 466139680 ; mrt ; 66.68516073693264
 lev1 ; cycle ; 8 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 389152297 ; mrt ; 65.90119598247415
 lev1 ; cycle ; 2 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 505767210 ; mrt ; 67.03950669655137
 lev1 ; cycle ; 5 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 509637009 ; mrt ; 67.07260958222263
 lev1 ; cycle ; 9 ; countPeriod ; 0 ; amplitude ; 90 ; srt ; 439471367 ; mrt ; 66.42930584622562
 lev1 ; cycle ; 6 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 480878065 ; mrt ; 66.82034967411248
 lev1 ; cycle ; 3 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 510108266 ; mrt ; 67.07662361071084
 lev1 ; cycle ; 7 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 498219397 ; mrt ; 66.97420631763472
 lev1 ; cycle ; 1 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 542735553 ; mrt ; 67.34588271857668
 lev1 ; cycle ; 4 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 545991940 ; mrt ; 67.37186231643636
 lev1 ; cycle ; 0 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 564534401 ; mrt ; 67.51690411644971
 lev1 ; cycle ; 8 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 544533098 ; mrt ; 67.36024282332201
 lev1 ; cycle ; 2 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 543884700 ; mrt ; 67.35506841865303
 lev1 ; cycle ; 9 ; countPeriod ; 1 ; amplitude ; 102 ; srt ; 585273229 ; mrt ; 67.67358659491808
 lev1 ; cycle ; 5 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 608076016 ; mrt ; 67.83957874117704
 lev1 ; cycle ; 6 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 579091124 ; mrt ; 67.62746908350118
 lev1 ; cycle ; 3 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 596701691 ; mrt ; 67.75757268598126
 lev1 ; cycle ; 7 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 569148990 ; mrt ; 67.55225969496857
 lev1 ; cycle ; 1 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 495782787 ; mrt ; 66.95291444495768
 lev1 ; cycle ; 4 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 540685542 ; mrt ; 67.32944756641336
 lev1 ; cycle ; 0 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 525518715 ; mrt ; 67.2058818692278
 lev1 ; cycle ; 2 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 478908941 ; mrt ; 66.80252945187763
 lev1 ; cycle ; 8 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 570262683 ; mrt ; 67.56074953037965
 lev1 ; cycle ; 9 ; countPeriod ; 2 ; amplitude ; 109 ; srt ; 500529792 ; mrt ; 66.99429932197238
 lev1 ; cycle ; 5 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 506932765 ; mrt ; 67.0495036224102
 lev1 ; cycle ; 6 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 507268674 ; mrt ; 67.05238043612485
 lev1 ; cycle ; 1 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 399322007 ; mrt ; 66.01323245218872
 lev1 ; cycle ; 3 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 504790193 ; mrt ; 67.03110908899794
 lev1 ; cycle ; 7 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 471199569 ; mrt ; 66.73204884535821
 lev1 ; cycle ; 0 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 391469874 ; mrt ; 65.92698346064515
 lev1 ; cycle ; 4 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 445198910 ; mrt ; 66.48554092361762
 lev1 ; cycle ; 2 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 448995441 ; mrt ; 66.52241931295984
 lev1 ; cycle ; 8 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 509729405 ; mrt ; 67.0733968766147
 lev1 ; cycle ; 1 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 362315640 ; mrt ; 65.59087081534102
 lev1 ; cycle ; 5 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 461302103 ; mrt ; 66.63985434489501
 lev1 ; cycle ; 9 ; countPeriod ; 3 ; amplitude ; 110 ; srt ; 522581031 ; mrt ; 67.18153641362332
 lev1 ; cycle ; 3 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 416066044 ; mrt ; 66.1916227357912
 lev1 ; cycle ; 0 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 365716370 ; mrt ; 65.63144400429793
 lev1 ; cycle ; 6 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 481896387 ; mrt ; 66.82953670206905
 lev1 ; cycle ; 4 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 448095471 ; mrt ; 66.51370554424874
 lev1 ; cycle ; 2 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 366003769 ; mrt ; 65.6348555765527
 lev1 ; cycle ; 7 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 519157164 ; mrt ; 67.15298851346441
 lev1 ; cycle ; 1 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 329264558 ; mrt ; 65.17544985818472
 lev1 ; cycle ; 3 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 353910288 ; mrt ; 65.48893187550449
 lev1 ; cycle ; 8 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 495025321 ; mrt ; 66.94627414063517
 lev1 ; cycle ; 0 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 379450278 ; mrt ; 65.7915487534356
 lev1 ; cycle ; 5 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 457412720 ; mrt ; 66.60308237553193
 lev1 ; cycle ; 6 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 407338608 ; mrt ; 66.09955574944145
 lev1 ; cycle ; 2 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 312739553 ; mrt ; 64.95182811090537
 lev1 ; cycle ; 4 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 344591316 ; mrt ; 65.37304328652341
 lev1 ; cycle ; 9 ; countPeriod ; 4 ; amplitude ; 102 ; srt ; 545747266 ; mrt ; 67.36991568725497
 lev1 ; cycle ; 7 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 405055884 ; mrt ; 66.07514945285095
 lev1 ; cycle ; 1 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 352560404 ; mrt ; 65.47233535161467
 lev1 ; cycle ; 3 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 319381478 ; mrt ; 65.04309726343358
 lev1 ; cycle ; 0 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 327187289 ; mrt ; 65.14796423286607
 lev1 ; cycle ; 8 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 402878901 ; mrt ; 66.05174523731863
 lev1 ; cycle ; 5 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 373857307 ; mrt ; 65.72705873303595
 lev1 ; cycle ; 6 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 347531247 ; mrt ; 65.40993858680352
 lev1 ; cycle ; 2 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 332655300 ; mrt ; 65.21994447194116
 lev1 ; cycle ; 4 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 312048876 ; mrt ; 64.94222622591066
 lev1 ; cycle ; 7 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 357763164 ; mrt ; 65.53595622717987
 lev1 ; cycle ; 9 ; countPeriod ; 5 ; amplitude ; 90 ; srt ; 397919948 ; mrt ; 65.99795711172456
 lev1 ; cycle ; 1 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 339359155 ; mrt ; 65.3065956978607
 lev1 ; cycle ; 3 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 311831469 ; mrt ; 64.93919940626469
 lev1 ; cycle ; 0 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 343551303 ; mrt ; 65.35991600045132
 lev1 ; cycle ; 8 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 316912803 ; mrt ; 65.00939784661854
 lev1 ; cycle ; 6 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 305310677 ; mrt ; 64.84741992248557
 lev1 ; cycle ; 5 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 313446957 ; mrt ; 64.96164057985717
 lev1 ; cycle ; 2 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 309468049 ; mrt ; 64.9061581697718
 lev1 ; cycle ; 4 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 304760893 ; mrt ; 64.83959237457753
 lev1 ; cycle ; 7 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 259177009 ; mrt ; 64.1359647363649
 lev1 ; cycle ; 9 ; countPeriod ; 6 ; amplitude ; 78 ; srt ; 276812471 ; mrt ; 64.4218565213038
 lev1 ; cycle ; 3 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 267727220 ; mrt ; 64.27692528433207
 lev1 ; cycle ; 8 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 219433638 ; mrt ; 63.413032033571966
 lev1 ; cycle ; 6 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 214689251 ; mrt ; 63.31810300848694
 lev1 ; cycle ; 5 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 212624635 ; mrt ; 63.27613581093891
 lev1 ; cycle ; 4 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 233902446 ; mrt ; 63.69034763402776
 lev1 ; cycle ; 7 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 200109442 ; mrt ; 63.012675809488286
 lev1 ; cycle ; 9 ; countPeriod ; 7 ; amplitude ; 71 ; srt ; 191032330 ; mrt ; 62.811068727577634
 lev1 ; cycle ; 8 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 191882463 ; mrt ; 62.83035284426149
 lev1 ; cycle ; 6 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 204119015 ; mrt ; 63.09883463926817
 lev1 ; cycle ; 5 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 198098190 ; mrt ; 62.96880507458773
 lev1 ; cycle ; 7 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 192202584 ; mrt ; 62.83759222091099
 lev1 ; cycle ; 9 ; countPeriod ; 8 ; amplitude ; 70 ; srt ; 175433901 ; mrt ; 62.44113520584155
 lev1 ; cycle ; 8 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 187811755 ; mrt ; 62.73722770953885
 lev1 ; cycle ; 9 ; countPeriod ; 9 ; amplitude ; 78 ; srt ; 275788489 ; mrt ; 64.40576135414491
