 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Command Line ping 192.168.1.108 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , lI , spb
0,0,0,1.7557185E7,5000000.0,3.511437,0.5454848809830328
0,0,1,2831872.0,5000000.0,0.5663744,-0.2468963848910225
0,0,2,2548760.0,5000000.0,0.509752,-0.29264106160227976
0,0,3,2365210.0,5000000.0,0.473042,-0.3251002978278083
0,0,4,2222069.0,5000000.0,0.4444138,-0.35221246374827736
0,0,5,2108519.0,5000000.0,0.4217038,-0.3749924855120617
0,0,6,1992890.0,5000000.0,0.398578,-0.39948667638887436
0,0,7,1910489.0,5000000.0,0.3820978,-0.4178254628366128
0,0,8,2529474.0,5000000.0,0.5058948,-0.29593978460193343
0,0,9,4321750.0,5000000.0,0.86435,-0.06331036366772758
0,0,10,3677944.0,5000000.0,0.7355888,-0.13336489190708037
0,0,11,2952493.0,5000000.0,0.5904986,-0.2287811277083757
0,0,12,2837761.0,5000000.0,0.5675522,-0.2459941885323884
0,0,13,2227288.0,5000000.0,0.4454576,-0.3511936271206172
0,0,14,2763017.0,5000000.0,0.5526034,-0.2575864473299383
0,0,15,4528737.0,5000000.0,0.9057474,-0.042992903958922246
0,0,16,4410698.0,5000000.0,0.8821396,-0.05446268163437014
0,0,17,6033722.0,5000000.0,1.2067444,0.08161529211493371
0,0,18,3330440.0,5000000.0,0.666088,-0.17646839036464995
0,0,19,5548832.0,5000000.0,1.1097664,0.045231571698643946
0,1,0,5075977.0,4347826.0,1.1674747333494946,0.06724749027829434
0,1,1,3546915.0,4347826.0,0.8157904663158093,-0.08842137434453043
0,1,2,5969423.0,4347826.0,1.3729673174593464,0.13766019927900094
0,1,3,3220200.0,4347826.0,0.7406460148129203,-0.13038930962583836
0,1,4,3503117.0,4347826.0,0.8057169261143385,-0.09381751281015954
0,1,5,5168009.0,4347826.0,1.188642093772842,0.07505110600764142
0,1,6,2258840.0,4347826.0,0.5195332103906642,-0.2843866855882086
0,1,7,4183680.0,4347826.0,0.9622464192449284,-0.01671369634671217
0,1,8,3250203.0,4347826.0,0.7475467049509341,-0.12636166846331046
0,1,9,4096934.0,4347826.0,0.9422948388458968,-0.025813187600803117
0,1,10,3157245.0,4347826.0,0.7261663645233273,-0.13896387114912315
0,1,11,2791137.0,4347826.0,0.6419615228392305,-0.19249100140058062
0,1,12,3632127.0,4347826.0,0.8353892267077845,-0.07811112975503715
0,1,13,2954662.0,4347826.0,0.6795722735914455,-0.1677643485667924
0,1,14,3601533.0,4347826.0,0.8283526065670521,-0.08178475682736193
0,1,15,2433820.0,4347826.0,0.5597786111955723,-0.25198369968407497
0,1,16,2404995.0,4347826.0,0.5531488610629772,-0.2571579774867362
0,1,17,2620222.0,4347826.0,0.6026510720530215,-0.21993406653764044
0,1,18,5810401.0,4347826.0,1.3363922567278452,0.1259339506011497
0,1,19,3516843.0,4347826.0,0.8088739061774781,-0.09211917445628424
0,1,20,6041510.0,4347826.0,1.3895473277909465,0.1428733433756492
0,1,21,3212838.0,4347826.0,0.7389527547790551,-0.1313833274978164
0,1,22,3105054.0,4347826.0,0.7141624342832487,-0.1462029979020841
0,2,0,2371739.0,4000000.0,0.59293475,-0.22699309630540143
0,2,1,4517251.0,4000000.0,1.12931275,0.052814231375650514
0,2,2,5840491.0,4000000.0,1.46012275,0.16438936770687942
0,2,3,3844500.0,4000000.0,0.961125,-0.017220126088037132
0,2,4,5764744.0,4000000.0,1.441186,0.15872003463823672
0,2,5,5673333.0,4000000.0,1.41833325,0.15177828418422895
0,2,6,6046608.0,4000000.0,1.511652,0.17945182299400292
0,2,7,5400938.0,4000000.0,1.3502345,0.1304092005037908
0,2,8,5375490.0,4000000.0,1.3438725,0.12835806695210947
0,2,9,2912993.0,4000000.0,0.72824825,-0.13772055032028338
0,2,10,2750378.0,4000000.0,0.6875945,-0.16266760584944653
0,2,11,5383010.0,4000000.0,1.3457525,0.12896519527590772
0,2,12,3710772.0,4000000.0,0.927693,-0.032595720402465576
0,2,13,3024166.0,4000000.0,0.7560415,-0.12145436491369806
0,2,14,3930763.0,4000000.0,0.98269075,-0.007583131912628817
0,2,15,3924690.0,4000000.0,0.9811725,-0.008254632566772472
0,2,16,5351151.0,4000000.0,1.33778775,0.12638721483999535
0,2,17,3528619.0,4000000.0,0.88215475,-0.054455223058763436
0,2,18,3497787.0,4000000.0,0.87444675,-0.05826663202325654
0,2,19,4964350.0,4000000.0,1.2410875,0.09380240150481925
0,2,20,5113244.0,4000000.0,1.278311,0.10663652608568443
0,2,21,5497162.0,4000000.0,1.3742905,0.13807854437696696
0,2,22,3401347.0,4000000.0,0.85033675,-0.0704090511041898
0,2,23,5971952.0,4000000.0,1.492988,0.1740563170654629
0,2,24,2273388.0,4000000.0,0.568347,-0.24538642807169084
0,3,0,5665041.0,4000000.0,1.41626025,0.15114306603285232
0,3,1,5958314.0,4000000.0,1.4895785,0.17306339524390923
0,3,2,2667963.0,4000000.0,0.66699075,-0.17588018894973806
0,3,3,4948452.0,4000000.0,1.237113,0.09240937063565038
0,3,4,6010432.0,4000000.0,1.502608,0.1768456967269561
0,3,5,2424383.0,4000000.0,0.60609575,-0.21745876129277714
0,3,6,2409862.0,4000000.0,0.6024655,-0.22006781777985
0,3,7,5553719.0,4000000.0,1.38842975,0.14252391076314122
0,3,8,5315655.0,4000000.0,1.32891375,0.12349679500247916
0,3,9,2871271.0,4000000.0,0.71781775,-0.14398580675543518
0,3,10,4690893.0,4000000.0,1.17272325,0.0691955354073972
0,3,11,2894067.0,4000000.0,0.72351675,-0.1405514101588114
0,3,12,5267343.0,4000000.0,1.31683575,0.11953160843393935
0,3,13,3549656.0,4000000.0,0.887414,-0.05187372405896598
0,3,14,5635802.0,4000000.0,1.4089505,0.14889573551213717
0,3,15,2464115.0,4000000.0,0.61602875,-0.2103990188826674
0,3,16,3254256.0,4000000.0,0.813564,-0.08960827708046545
0,3,17,4212228.0,4000000.0,1.053057,0.02245187936733961
0,3,18,3776043.0,4000000.0,0.94401075,-0.025023060109666245
0,3,19,2772718.0,4000000.0,0.6931795,-0.15915428953649102
0,3,20,4796294.0,4000000.0,1.1990735,0.07884580500549987
0,3,21,3395705.0,4000000.0,0.84892625,-0.07113003721100658
0,3,22,4478656.0,4000000.0,1.119664,0.04908771477844942
0,3,23,4612030.0,4000000.0,1.1530075,0.061832132271299724
0,3,24,2838610.0,4000000.0,0.7096525,-0.14895426293832045
0,4,0,6017984.0,4347826.0,1.3841363476827269,0.14117887345135494
0,4,1,5990674.0,4347826.0,1.377855047557101,0.13920353153583143
0,4,2,2331330.0,4347826.0,0.5362059107241182,-0.27066840299633166
0,4,3,5440148.0,4347826.0,1.2512340650246814,0.09733855960552293
0,4,4,4471773.0,4347826.0,1.0285078105701562,0.012207594110119983
0,4,5,2577246.0,4347826.0,0.5927665918553319,-0.22711628104379733
0,4,6,3956090.0,4347826.0,0.9099007181980143,-0.04100599217451917
0,4,7,5957718.0,4347826.0,1.3702751674055034,0.13680778736526233
0,4,8,6059072.0,4347826.0,1.3935865878717317,0.14413395795540276
0,4,9,2393455.0,4347826.0,0.5504946610098932,-0.25924688869075124
0,4,10,2800430.0,4347826.0,0.6440989128819783,-0.19104743385100773
0,4,11,2429169.0,4347826.0,0.5587088811741776,-0.2528144250882293
0,4,12,5915758.0,4347826.0,1.3606243672124874,0.13373824440726317
0,4,13,2810523.0,4347826.0,0.646420302928406,-0.18948501159098657
0,4,14,4504696.0,4347826.0,1.036080100721602,0.015393332587426062
0,4,15,3753590.0,4347826.0,0.8633257172665143,-0.06382532187051423
0,4,16,4549723.0,4347826.0,1.0464363109287262,0.019712801089495698
0,4,17,2612381.0,4347826.0,0.6008476420169528,-0.22123563884551192
0,4,18,2675698.0,4347826.0,0.6154105523082111,-0.21083506127358315
0,4,19,6006152.0,4347826.0,1.3814149876282997,0.1403241635631044
0,4,20,2700168.0,4347826.0,0.621038652420773,-0.20688136921044067
0,4,21,6069805.0,4347826.0,1.3960551779211035,0.14490258375496737
0,4,22,2322491.0,4347826.0,0.5341729406834588,-0.27231811558365204
0,5,0,5447512.0,5000000.0,1.0895024,0.03722819126479718
0,5,1,2445492.0,5000000.0,0.4890984,-0.3106037578949467
0,5,2,5072088.0,5000000.0,1.0144176,0.006216775550052575
0,5,3,5996667.0,5000000.0,1.1993334,0.07893992843075227
0,5,4,2718907.0,5000000.0,0.5437814,-0.2645756515030487
0,5,5,3235810.0,5000000.0,0.647162,-0.18898699151138865
0,5,6,4113976.0,5000000.0,0.8227952,-0.08470825054512318
0,5,7,2828080.0,5000000.0,0.565616,-0.2474783138267372
0,5,8,2831516.0,5000000.0,0.5663032,-0.24695098430598791
0,5,9,2875256.0,5000000.0,0.5750512,-0.2402934859407134
0,5,10,4736931.0,5000000.0,0.9473862,-0.023472945666221507
0,5,11,3905213.0,5000000.0,0.7810426,-0.10732527797881207
0,5,12,3414231.0,5000000.0,0.6828462,-0.16567710307240363
0,5,13,2122526.0,5000000.0,0.4245052,-0.37211698547309313
0,5,14,4379374.0,5000000.0,0.8758748,-0.057557968666521464
0,5,15,2262028.0,5000000.0,0.4524056,-0.34447202789767356
0,5,16,5992845.0,5000000.0,1.198569,0.07866304083665177
0,5,17,5418136.0,5000000.0,1.0836272,0.03487989767310049
0,5,18,6203248.0,5000000.0,1.2406496,0.09364913985949908
0,5,19,5407740.0,5000000.0,1.081548,0.03404579855323333
0,6,0,2466018.0,5882352.0,0.4192231270757003,-0.3775547668537454
0,6,1,2723896.0,5882352.0,0.46306239408998306,-0.3343604872038234
0,6,2,5861241.0,5882352.0,0.9964111294257807,-0.0015614302511377043
0,6,3,4189457.0,5882352.0,0.7122078039532487,-0.14739327189278964
0,6,4,3486113.0,5882352.0,0.5926393048222888,-0.22720954876995908
0,6,5,5992903.0,5882352.0,1.0187936730069878,0.00808623921002619
0,6,6,5910480.0,5882352.0,1.0047817607650817,0.002071742962614117
0,6,7,6023421.0,5882352.0,1.0239817338370774,0.01029220960415046
0,6,8,6092857.0,5882352.0,1.035785855725737,0.01526997617192691
0,6,9,2478341.0,5882352.0,0.42131803741088597,-0.37538994751846716
0,6,10,2448417.0,5882352.0,0.41623095659695303,-0.38066562287673916
0,6,11,6131313.0,5882352.0,1.0423233767717404,0.018002478041904413
0,6,12,3212004.0,5882352.0,0.5460407673665227,-0.2627749316883443
0,6,13,5002997.0,5882352.0,0.8505096260815401,-0.07032076667170924
0,6,14,6131549.0,5882352.0,1.0423634967781594,0.018019194122985888
0,6,15,3081945.0,5882352.0,0.5239307338289174,-0.2807261250473484
0,6,16,4131047.0,5882352.0,0.7022781023644964,-0.15349087304822945
0,7,0,3087219.0,6666666.0,0.46308289630828964,-0.3343412591186167
0,7,1,2664968.0,6666666.0,0.399745239974524,-0.3982166989766144
0,7,2,5891201.0,6666666.0,0.8836802383680238,-0.05370485697176574
0,7,3,5957795.0,6666666.0,0.8936693393669339,-0.04882314188869394
0,7,4,2428045.0,6666666.0,0.36420678642067866,-0.43865196607104595
0,7,5,2261124.0,6666666.0,0.3391686339168634,-0.46958431781475696
