 Number of tacts (im units) = 10
 Signal_Sampling_Rate (im Hz) = 10
 Period Time (im ms) = 100
 Command Line ping -c1 192.168.1.1 > /dev/null 2>&1
 lev1 ; cycle ; 0 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 532134609
 lev1 ; cycle ; 1 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 505104548
 lev1 ; cycle ; 2 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 540307634
 lev1 ; cycle ; 3 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 595209215
 lev1 ; cycle ; 4 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 683716473
 lev1 ; cycle ; 5 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 823214064
 lev1 ; cycle ; 6 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 772378237
 lev1 ; cycle ; 0 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 861511946
 lev1 ; cycle ; 1 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 859233146
 lev1 ; cycle ; 7 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 874649234
 lev1 ; cycle ; 2 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 895171727
 lev1 ; cycle ; 8 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 832142083
 lev1 ; cycle ; 9 ; countPeriod ; 0 ; amplitude ; 190 ; srt ; 928749581
 lev1 ; cycle ; 3 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 989648434
 lev1 ; cycle ; 4 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 999943150
 lev1 ; cycle ; 5 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 965968290
 lev1 ; cycle ; 6 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 919399999
 lev1 ; cycle ; 0 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 1005183906
 lev1 ; cycle ; 1 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 1003979702
 lev1 ; cycle ; 7 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 974709677
 lev1 ; cycle ; 8 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 963350755
 lev1 ; cycle ; 2 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 1001562984
 lev1 ; cycle ; 9 ; countPeriod ; 1 ; amplitude ; 202 ; srt ; 928168454
 lev1 ; cycle ; 3 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 996700278
 lev1 ; cycle ; 4 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 966907387
 lev1 ; cycle ; 6 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 934936496
 lev1 ; cycle ; 5 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 1001071867
 lev1 ; cycle ; 1 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 946954701
 lev1 ; cycle ; 0 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 1035696478
 lev1 ; cycle ; 7 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 973056839
 lev1 ; cycle ; 8 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 927160032
 lev1 ; cycle ; 2 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 973486546
 lev1 ; cycle ; 9 ; countPeriod ; 2 ; amplitude ; 209 ; srt ; 987046338
 lev1 ; cycle ; 3 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 959340980
 lev1 ; cycle ; 4 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 1000692262
 lev1 ; cycle ; 6 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 979099250
 lev1 ; cycle ; 5 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 1031475456
 lev1 ; cycle ; 1 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 958524716
 lev1 ; cycle ; 0 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 915365535
 lev1 ; cycle ; 8 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 950828041
 lev1 ; cycle ; 7 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 979309450
 lev1 ; cycle ; 2 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 899965496
 lev1 ; cycle ; 9 ; countPeriod ; 3 ; amplitude ; 210 ; srt ; 943800758
 lev1 ; cycle ; 3 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 909416789
 lev1 ; cycle ; 4 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 908122374
 lev1 ; cycle ; 6 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 910694613
 lev1 ; cycle ; 1 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 838565208
 lev1 ; cycle ; 5 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 928952526
 lev1 ; cycle ; 0 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 882542658
 lev1 ; cycle ; 2 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 820308339
 lev1 ; cycle ; 7 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 899523960
 lev1 ; cycle ; 8 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 950155826
 lev1 ; cycle ; 9 ; countPeriod ; 4 ; amplitude ; 202 ; srt ; 841194254
 lev1 ; cycle ; 3 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 884648892
 lev1 ; cycle ; 4 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 844528974
 lev1 ; cycle ; 6 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 839821290
 lev1 ; cycle ; 1 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 833133452
 lev1 ; cycle ; 5 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 832932509
 lev1 ; cycle ; 0 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 814567101
 lev1 ; cycle ; 2 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 806524030
 lev1 ; cycle ; 7 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 799093335
 lev1 ; cycle ; 8 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 894413423
 lev1 ; cycle ; 9 ; countPeriod ; 5 ; amplitude ; 190 ; srt ; 855628309
 lev1 ; cycle ; 3 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 801038433
 lev1 ; cycle ; 4 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 773711059
 lev1 ; cycle ; 6 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 772710322
 lev1 ; cycle ; 1 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 795333548
 lev1 ; cycle ; 0 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 778762272
 lev1 ; cycle ; 2 ; countPeriod ; 7 ; amplitude ; 171 ; srt ; 761343493
 lev1 ; cycle ; 5 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 814927059
 lev1 ; cycle ; 7 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 821368733
 lev1 ; cycle ; 8 ; countPeriod ; 6 ; amplitude ; 178 ; srt ; 770953551
