 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Trajectory File: sinus.txt
 Coef Load Impact: 10
 Command Line: ping 192.168.222.3 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , spb
0,0,0,1.9408449E7,5000000.0,5.890208263817999
0,0,1,1672926.0,5000000.0,-4.754932734766965
0,0,2,1658682.0,5000000.0,-4.7920687261129755
0,0,3,1666150.0,5000000.0,-4.77255906881216
0,0,4,1725080.0,5000000.0,-4.6216076420039
0,0,5,1650759.0,5000000.0,-4.812863305947072
0,0,6,1707646.0,5000000.0,-4.665721591662256
0,0,7,1860143.0,5000000.0,-4.294236720946084
0,0,8,1843560.0,5000000.0,-4.333127277343355
0,0,9,4284128.0,5000000.0,-0.6710756625107741
0,0,10,1363144.0,5000000.0,-5.644282680156099
0,0,11,1760418.0,5000000.0,-4.533542038289395
0,0,12,1486016.0,5000000.0,-5.269465188183925
0,0,13,1275491.0,5000000.0,-5.93292605807401
0,0,14,1251236.0,5000000.0,-6.016307731147869
0,0,15,1451085.0,5000000.0,-5.372771515469684
0,0,16,1360826.0,5000000.0,-5.6516740600321445
0,0,17,1299113.0,5000000.0,-5.853230756324676
0,0,18,1415554.0,5000000.0,-5.480435630229577
0,0,19,1373974.0,5000000.0,-5.609914897808759
0,1,0,1320496.0,4347826.0,-5.175350653011389
0,1,1,1286962.0,4347826.0,-5.287064315731361
0,1,2,1497545.0,4347826.0,-4.628922738458173
0,1,3,1545943.0,4347826.0,-4.490786781604118
0,1,4,1354246.0,4347826.0,-5.065745937993174
0,1,5,1694589.0,4347826.0,-4.092077723303422
0,1,6,1474629.0,4347826.0,-4.69589384826052
0,1,7,1376999.0,4347826.0,-4.993385304314889
0,1,8,1420611.0,4347826.0,-4.857969821413867
0,1,9,1432316.0,4347826.0,-4.822333119640444
0,1,10,1509479.0,4347826.0,-4.5944507983707625
0,1,11,1509502.0,4347826.0,-4.594384625227679
0,1,12,1538396.0,4347826.0,-4.5120401327838335
0,1,13,2940553.0,4347826.0,-1.6984314384204982
0,1,14,1464401.0,4347826.0,-4.7261213851891855
0,1,15,1403421.0,4347826.0,-4.910841845175122
0,1,16,3549107.0,4347826.0,-0.88153062455246
0,1,17,1991629.0,4347826.0,-3.3906371390906225
0,1,18,1405263.0,4347826.0,-4.905145436819067
0,1,19,1491641.0,4347826.0,-4.6460784320510085
0,1,20,1450371.0,4347826.0,-4.767930477900687
0,1,21,1484922.0,4347826.0,-4.665685136697275
0,1,22,1573423.0,4347826.0,-4.414266609823601
0,2,0,1443106.0,4000000.0,-4.427617589702025
0,2,1,1376768.0,4000000.0,-4.6319922812883005
0,2,2,1288946.0,4000000.0,-4.918252682284547
0,2,3,1241874.0,4000000.0,-5.079824565829049
0,2,4,1281264.0,4000000.0,-4.944213674924033
0,2,5,1411509.0,4000000.0,-4.523763397073155
0,2,6,1315128.0,4000000.0,-4.830919670281529
0,2,7,1522896.0,4000000.0,-4.193897453578545
0,2,8,1354483.0,4000000.0,-4.702864327173755
0,2,9,1320653.0,4000000.0,-4.812712690818179
0,2,10,1442292.0,4000000.0,-4.430067967207295
0,2,11,1288178.0,4000000.0,-4.920841134931569
0,2,12,1472811.0,4000000.0,-4.339129721998334
0,2,13,1297066.0,4000000.0,-4.890979160098522
0,2,14,2042516.0,4000000.0,-2.918945240747974
0,2,15,1482348.0,4000000.0,-4.31109819575378
0,2,16,1304404.0,4000000.0,-4.8664786941294516
0,2,17,1369221.0,4000000.0,-4.6558643995489195
0,2,18,1298972.0,4000000.0,-4.884602015917724
0,2,19,1295022.0,4000000.0,-4.8978284499760685
0,2,20,1326319.0,4000000.0,-4.794120002321309
0,2,21,1306650.0,4000000.0,-4.859007185329285
0,2,22,1285537.0,4000000.0,-4.929754104155297
0,2,23,1254516.0,4000000.0,-5.035837866837909
0,2,24,1267566.0,4000000.0,-4.990894097608022
0,3,0,2944294.0,4000000.0,-1.3307881738714475
0,3,1,1536795.0,4000000.0,-4.154440524597117
