 Number of tacts (im units) = 1
 Number of massive (im units) = 100
 Trajectory File: sinus.txt
 Coef Load Impact: 10
 Command Line: curl 192.168.222.3:9000 > /dev/null 2>&1
cycle , cPeriod , count , procDur , procTime , spb
0,0,0,1.9616883E7,5000000.0,5.936599975131452
0,0,1,1.2913078E7,5000000.0,4.120597700052091
0,0,2,9600579.0,5000000.0,2.8332742129962685
0,0,3,1.0310768E7,5000000.0,3.1432101067979246
0,0,4,1.1211037E7,5000000.0,3.506757815460378
0,0,5,1.1825001E7,5000000.0,3.7383118180063493
0,0,6,1.0352584E7,5000000.0,3.16078758681766
0,0,7,8999037.0,5000000.0,2.552260331074463
0,0,8,1.1172963E7,5000000.0,3.4919835623771056
0,0,9,1.1139208E7,5000000.0,3.478843091715984
0,0,10,1.1737927E7,5000000.0,3.706213999047695
0,0,11,1.1523203E7,5000000.0,3.6260320842127185
0,0,12,9323597.0,5000000.0,2.7061348912055654
0,0,13,1.0431808E7,5000000.0,3.19389580828295
0,0,14,1.0391755E7,5000000.0,3.177188947564406
0,0,15,1.210089E7,5000000.0,3.8384730877997857
0,0,16,1.3182383E7,5000000.0,4.210239211118315
0,0,17,1.0850437E7,5000000.0,3.364772253569832
0,0,18,9305439.0,5000000.0,2.697668621990357
0,0,19,9230622.0,5000000.0,2.6626096235253955
0,1,0,1.1011246E7,4347826.0,4.035643099338093
0,1,1,1.1577789E7,4347826.0,4.253534751846828
0,1,2,1.0840961E7,4347826.0,3.9679562676730824
0,1,3,1.1740097E7,4347826.0,4.313995298936739
0,1,4,9789116.0,4347826.0,3.5247131958566618
0,1,5,9137153.0,4347826.0,3.225387418599066
0,1,6,9880458.0,4347826.0,3.5650492109906247
0,1,7,1.10738E7,4347826.0,4.060245203106109
0,1,8,1.0518429E7,4347826.0,3.8367872448509104
0,1,9,1.0276709E7,4347826.0,3.735819037238088
0,1,10,1.4905125E7,4347826.0,5.350634672447322
0,1,11,1.269809E7,4347826.0,4.654662455930882
0,1,12,1.3595932E7,4347826.0,4.95136828497807
0,1,13,1.282089E7,4347826.0,4.696460187687147
0,1,14,1.0704203E7,4347826.0,3.912821813888008
0,1,15,1.012562E7,4347826.0,3.671494696109322
0,1,16,1.0421282E7,4347826.0,3.7964899277240534
0,1,17,1.0856414E7,4347826.0,3.9741424111706865
0,1,18,1.237279E7,4347826.0,4.541954865298774
0,1,19,1.1445215E7,4347826.0,4.203518000746024
0,1,20,1.0637741E7,4347826.0,3.8857725692980747
0,1,21,9377658.0,4347826.0,3.3382223482297197
0,1,22,1.530276E7,4347826.0,5.464976117739751
0,2,0,1.1238136E7,4000000.0,4.486342921429805
0,2,1,1.0976868E7,4000000.0,4.384184503934486
0,2,2,1.033555E7,4000000.0,4.122736009666932
0,2,3,9927218.0,4000000.0,3.9476756768840318
0,2,4,9100491.0,4000000.0,3.5700483317313845
0,2,5,1.0703731E7,4000000.0,4.274751947942522
0,2,6,1.1370039E7,4000000.0,4.537019630216673
0,2,7,1.0895983E7,4000000.0,4.352064256515449
0,2,8,1.0242756E7,4000000.0,4.083568358735405
0,2,9,1.0459022E7,4000000.0,4.174310851859956
0,2,10,9108113.0,4000000.0,3.573684187324053
0,2,11,1.0242911E7,4000000.0,4.083634078484433
0,2,12,1.1222474E7,4000000.0,4.480286165822521
0,2,13,1.0681928E7,4000000.0,4.265896550155025
0,2,14,1.1003272E7,4000000.0,4.394618574887642
0,2,15,1.0237726E7,4000000.0,4.081435106902859
0,2,16,8985923.0,4000000.0,3.515027014936578
0,2,17,1.0072072E7,4000000.0,4.0105883032813185
0,2,18,1.1246231E7,4000000.0,4.489470084389656
0,2,19,1.1833995E7,4000000.0,4.71071390118619
0,2,20,1.0226206E7,4000000.0,4.076545457191335
0,2,21,1.0967827E7,4000000.0,4.380606002038661
0,2,22,9121171.0,4000000.0,3.5799060645131444
0,2,23,1.0121895E7,4000000.0,4.032018364919591
0,2,24,1.0605546E7,4000000.0,4.234730406649414
0,3,0,1.3625768E7,4000000.0,5.3230099879592405
0,3,1,1.5888635E7,4000000.0,5.990265970416926
0,3,2,9754129.0,4000000.0,3.8712850358328543
0,3,3,9403795.0,4000000.0,3.712431617345522
0,3,4,1.0827975E7,4000000.0,4.324872530576711
0,3,5,9249431.0,4000000.0,3.6405502560988894
0,3,6,1.0169483E7,4000000.0,4.052388833298438
0,3,7,1.0693355E7,4000000.0,4.2705399352437405
0,3,8,9529736.0,4000000.0,3.7702087832071864
0,3,9,1.0375662E7,4000000.0,4.13955824299544
0,3,10,1.0579104E7,4000000.0,4.223888952432307
0,3,11,1.4512808E7,4000000.0,5.596914583889361
0,3,12,1.3634239E7,4000000.0,5.3257091132196415
0,3,13,1.1412456E7,4000000.0,4.553191248228013
0,3,14,1.0896956E7,4000000.0,4.352452059676072
0,3,15,1.0682517E7,4000000.0,4.266136012916549
0,3,16,1.0045112E7,4000000.0,3.998947920371225
0,3,17,9443527.0,4000000.0,3.73074235020876
0,3,18,1.0578175E7,4000000.0,4.22350756163631
0,3,19,1.0045892E7,4000000.0,3.9992851356702266
0,3,20,1.2373085E7,4000000.0,4.904180051027587
0,3,21,1.0981132E7,4000000.0,4.385871207362952
0,3,22,9437865.0,4000000.0,3.728137695392799
0,3,23,1.0738017E7,4000000.0,4.288640958574935
0,3,24,1.0529966E7,4000000.0,4.203669775748819
0,4,0,9800938.0,4347826.0,3.5299548659289477
0,4,1,9933491.0,4347826.0,3.58829747337246
0,4,2,1.0491929E7,4347826.0,3.8258318771476976
0,4,3,9576838.0,4347826.0,3.4294998574140894
0,4,4,9233420.0,4347826.0,3.2709043543943714
0,4,5,1.1884912E7,4347826.0,4.367238151129996
0,4,6,9641641.0,4347826.0,3.4587880148938375
0,4,7,9226093.0,4347826.0,3.2674567273242374
0,4,8,1.1996431E7,4347826.0,4.40779905122016
0,4,9,9664009.0,4347826.0,3.4688517043506293
0,4,10,9244803.0,4347826.0,3.276255057990534
0,4,11,1.1893683E7,4347826.0,4.3704420385535645
0,4,12,9597908.0,4347826.0,3.4390442742388734
0,4,13,9312161.0,4347826.0,3.3077832068703854
0,4,14,1.1018137E7,4347826.0,4.038360128110445
0,4,15,9926403.0,4347826.0,3.5851974775533164
0,4,16,8989795.0,4347826.0,3.1547763305696828
0,4,17,1.2292326E7,4347826.0,4.513619141957055
0,4,18,9974921.0,4347826.0,3.6063730952342814
0,4,19,9043456.0,4347826.0,3.1806227461476464
0,4,20,1.2247449E7,4347826.0,4.497734843758645
0,4,21,9776654.0,4347826.0,3.5191809029130705
0,4,22,9113708.0,4347826.0,3.214229545303129
0,5,0,1.2503634E7,5000000.0,3.980662484144965
0,5,1,9845288.0,5000000.0,2.9425842055471154
0,5,2,9048593.0,5000000.0,2.576110500248755
0,5,3,1.0295623E7,5000000.0,3.1368262707222727
0,5,4,1.0209207E7,5000000.0,3.1002200524361805
0,5,5,9350429.0,5000000.0,2.7186153253207577
0,5,6,1.8043831E7,5000000.0,5.57358746470991
0,5,7,1.247511E7,5000000.0,3.970743793928669
0,5,8,1.1520735E7,5000000.0,3.6251018275999507
0,5,9,1.1520731E7,5000000.0,3.6251003197289435
0,5,10,9089867.0,5000000.0,2.595875244757548
0,5,11,1.2433575E7,5000000.0,3.9562601405165028
0,5,12,1.1004956E7,5000000.0,3.426183061612167
0,5,13,9310593.0,5000000.0,2.700073381304179
0,5,14,1.1111859E7,5000000.0,3.4681671760246227
0,5,15,9945981.0,5000000.0,2.9867762091982564
0,5,16,9103723.0,5000000.0,2.6024903058913655
0,5,17,1.2153004E7,5000000.0,3.8571363650952115
0,5,18,9634245.0,5000000.0,2.8484768194332495
0,5,19,9497352.0,5000000.0,2.7863253020617673
0,6,0,1.2648136E7,5882352.0,3.3247551759758154
0,6,1,9574243.0,5882352.0,2.115534368042905
0,6,2,8913528.0,5882352.0,1.8049862393362424
0,6,3,1.2126352E7,5882352.0,3.141791615133837
0,6,4,9683984.0,5882352.0,2.165030540888867
0,6,5,8496863.0,5882352.0,1.5970760678544087
0,6,6,1.0005227E7,5882352.0,2.3067593728380675
0,6,7,1.0233792E7,5882352.0,2.4048557663319006
0,6,8,9048934.0,5882352.0,1.8704641148653698
0,6,9,9747545.0,5882352.0,2.1934423967095205
0,6,10,1.0175956E7,5882352.0,2.3802421132003824
0,6,11,9052818.0,5882352.0,1.8723278016439733
0,6,12,1.0174822E7,5882352.0,2.3797581121042204
0,6,13,1.0300693E7,5882352.0,2.4331543459500384
0,6,14,9289330.0,5882352.0,1.9843338216839221
0,6,15,1.1396514E7,5882352.0,2.8722101921185277
0,6,16,1.0775329E7,5882352.0,2.6287953008825617
0,7,0,9196748.0,6666666.0,1.397255890342526
0,7,1,1.0398978E7,6666666.0,1.930819619021541
0,7,2,1.0436708E7,6666666.0,1.9465483535712471
0,7,3,9467907.0,6666666.0,1.523452858375314
0,7,4,1.1325732E7,6666666.0,2.301575832174383
0,7,5,1.0433672E7,6666666.0,1.945284823097572
0,7,6,9380458.0,6666666.0,1.4831534577004124
0,7,7,1.0252268E7,6666666.0,1.8691125284555052
0,7,8,1.0385261E7,6666666.0,1.9250871808281773
0,7,9,9679304.0,6666666.0,1.619354325387092
0,7,10,1.0103159E7,6666666.0,1.805484903035409
0,7,11,1.0588917E7,6666666.0,2.0094284663647386
0,7,12,9516701.0,6666666.0,1.54577727151222
0,7,13,9184356.0,6666666.0,1.391400117985115
0,7,14,1.0168763E7,6666666.0,1.8335942797930778
0,8,0,1.0035564E7,6666666.0,1.77633087400791
0,8,1,8777070.0,6666666.0,1.1944086449587583
0,8,2,9646371.0,6666666.0,1.6045526338369933
0,8,3,1.0565668E7,6666666.0,1.9998826241987677
0,8,4,9006290.0,6666666.0,1.3063722949712524
0,8,5,9653577.0,6666666.0,1.6077956748876927
0,8,6,1.144727E7,6666666.0,2.3479322887274083
0,8,7,1.4725959E7,6666666.0,3.44174889465245
0,8,8,1.2101344E7,6666666.0,2.589249091131087
0,8,9,1.03101E7,6666666.0,1.893541801098289
0,8,10,9288789.0,6666666.0,1.440504002355586
0,8,11,1.1830797E7,6666666.0,2.491053050203259
0,8,12,9625516.0,6666666.0,1.5951532273797544
0,8,13,9199806.0,6666666.0,1.3986997178527134
0,8,14,1.1876929E7,6666666.0,2.5079546276264146
0,9,0,9703688.0,5882352.0,2.1738581519787483
0,9,1,9255593.0,5882352.0,1.9685323981898597
0,9,2,1.1159889E7,5882352.0,2.781088658498212
0,9,3,1.0078852E7,5882352.0,2.338600588421475
0,9,4,9081108.0,5882352.0,1.8858783155926606
0,9,5,1.0308237E7,5882352.0,2.4363338586348946
0,9,6,9996720.0,5882352.0,2.303065189086539
0,9,7,9018627.0,5882352.0,1.8558941624427794
0,9,8,1.0305579E7,5882352.0,2.435213877027126
0,9,9,1.0163308E7,5882352.0,2.3748407797842344
0,9,10,9443857.0,5882352.0,2.0559839318344726
0,9,11,8962720.0,5882352.0,1.828888199165259
0,9,12,9731065.0,5882352.0,2.186093643621395
0,9,13,8562614.0,5882352.0,1.6305535746705904
0,9,14,9750821.0,5882352.0,2.1949017484686397
0,9,15,1.0071134E7,5882352.0,2.3352736531320435
0,9,16,9142452.0,5882352.0,1.9151167973439518
0,10,0,8689032.0,5000000.0,2.400013923111815
0,10,1,1.1407017E7,5000000.0,3.5820208444546218
0,10,2,9007986.0,5000000.0,2.5565769820150623
0,10,3,8675729.0,5000000.0,2.3933597334883485
0,10,4,9205449.0,5000000.0,2.6507497193331764
0,10,5,1.0331179E7,5000000.0,3.1517988194413356
0,10,6,9006227.0,5000000.0,2.555728847271573
0,10,7,1.0024591E7,5000000.0,3.020966582463159
0,10,8,1.069777E7,5000000.0,3.3032325207541784
0,10,9,9054416.0,5000000.0,2.578904396948844
0,10,10,1.0296499E7,5000000.0,3.137195773162455
0,10,11,1.0200406E7,5000000.0,3.096474537053655
0,10,12,9117192.0,5000000.0,2.608910964175754
0,10,13,8716650.0,5000000.0,2.4137960375583916
0,10,14,1.1644862E7,5000000.0,3.671643418628367
0,10,15,9100562.0,5000000.0,2.600982084204995
0,10,16,8786088.0,5000000.0,2.4482554443655786
0,10,17,1.0996642E7,5000000.0,3.422900823208932
0,10,18,9215875.0,5000000.0,2.6556657120726763
0,10,19,1.2350203E7,5000000.0,3.927040918066508
0,11,0,1.5812955E7,4347826.0,5.607408797385583
0,11,1,1.1170891E7,4347826.0,4.0981565890691405
0,11,2,1.1182755E7,4347826.0,4.10276654864092
0,11,3,9157144.0,4347826.0,3.234878884101593
0,11,4,8477621.0,4347826.0,2.9000184182742443
0,11,5,9084530.0,4347826.0,3.200303081376767
0,11,6,1.0051236E7,4347826.0,3.63947314915103
